Match_Id,Day,Team_Id,Toss_Won,Bat_First,Win_Percenetage,Opponent_Win_Percentage,Win_Percenetage_Against,Toss_Decision_Win_Percentage,Bat_Decision_Win_Percentage,Team1_Score,Team2_Score,Match_Won
392215,1,4,1,0,47.01492537,53.38983051,40,40.625,59.42028986,188.980953,533.0845415,0
392215,1,5,0,1,53.38983051,47.01492537,60,46.03174603,46.2962963,533.0845415,188.980953,1
392216,0,6,0,0,42.10526316,51.51515152,41.17647059,56.25,68.42105263,283.8009173,199.1497948,0
392216,0,1,1,1,51.51515152,42.10526316,58.82352941,55.07246377,43.5483871,199.1497948,283.8009173,1
392217,1,8,1,1,38.66666667,57.14285714,40,44.18604651,41.86046512,216.334843,272.9443766,0
392217,1,7,0,0,57.14285714,38.66666667,60,44.59459459,43.42105263,272.9443766,216.334843,1
392218,1,2,0,1,50.35971223,53.38983051,50,45.90163934,43.5483871,111.1733216,435.2227848,0
392218,1,5,1,0,53.38983051,50.35971223,50,53.96825397,53.7037037,435.2227848,111.1733216,1
392219,0,3,1,1,60.30534351,47.01492537,58.82352941,63.63636364,58.44155844,410.0174861,414.7597702,0
392219,0,4,0,0,47.01492537,60.30534351,41.17647059,59.375,59.42028986,414.7597702,410.0174861,1
392220,1,6,0,0,42.10526316,57.14285714,50,56.25,68.42105263,481.6257098,78.68243092,0
392220,1,7,1,1,57.14285714,42.10526316,50,55.40540541,56.57894737,78.68243092,481.6257098,1
392221,1,8,0,1,38.66666667,47.01492537,30,55.81395349,41.86046512,346.0145182,290.284764,0
392221,1,4,1,0,47.01492537,38.66666667,70,40.625,59.42028986,290.284764,346.0145182,1
392222,0,3,0,0,60.30534351,53.38983051,64.70588235,36.36363636,41.55844156,338.4966963,135.8785074,0
392222,0,5,1,1,53.38983051,60.30534351,35.29411765,53.96825397,46.2962963,135.8785074,338.4966963,1
392223,1,2,0,0,50.35971223,57.14285714,42.10526316,45.90163934,56.4516129,158.900861,412.9666221,0
