Match_Id,Team_Id,Opponent_Id,Score
548381,2,8,349.3178723
548382,5,7,430.1291455
548383,1,6,435.0335253
548384,3,7,467.8475082
548385,3,6,596.5394866
548386,1,3,691.3885755
598003,1,6,337.5927384
598004,2,7,484.6729388
598005,10,11,253.3343603
598006,5,6,473.666103
598007,3,7,385.8617236
598008,4,10,228.3495746
598009,2,11,293.6485906
598010,1,5,328.1375741
598011,6,7,628.1145404
598012,3,4,411.8367582
598013,1,2,445.8374353
598014,5,10,400.7840859
598015,6,11,243.3391805
598016,7,10,455.5294048
598017,2,3,444.8457177
598018,1,11,379.5641574
598019,4,5,266.2525181
598020,3,10,387.8430746
598021,1,4,324.6236802
598022,2,6,518.8222126
598023,10,11,228.9903501
598024,5,7,319.3784084
598025,3,6,333.987715
598026,4,11,249.5552986
598027,1,3,190.4201686
598028,2,5,276.4750092
598029,6,7,583.1164352
598030,4,10,698.1116491
598031,3,5,828.2975744
598032,2,10,1142.118447
598033,4,6,674.3283244
598034,1,7,662.4873948
598035,3,11,802.032957
598036,1,4,628.9933098
598037,5,11,727.7341989
598038,2,7,651.9027045
598039,1,3,719.0761372
598040,6,10,692.9914761
598041,2,5,766.211223
598042,4,7,816.5530987
598043,3,10,666.6811645
598044,7,11,454.2868194
598045,1,6,608.7682356
598046,3,4,846.9309602
598047,2,10,777.0511913
598048,1,5,489.5742064
598049,6,11,495.0192855
598050,2,4,734.0464057
598051,3,7,502.1073065
598052,5,10,715.5319346
598053,2,11,641.291359
598054,5,6,549.7635768
598055,1,7,706.3398133
598056,3,11,722.6077627
598057,4,5,520.0173888
598058,1,10,736.3781769
598059,2,6,745.7645528
598060,7,10,525.0462478
598061,4,11,675.8998613
598062,1,2,592.3344311
598063,3,5,581.3073779
598064,4,6,562.3443802
598065,7,11,749.4868694
598066,1,10,715.2180896
598067,3,6,641.7982113
598068,5,7,771.179825
598069,2,4,880.084293
598070,5,11,719.7246982
598071,4,7,793.2697973
598072,6,10,740.246482
598073,2,3,552.7856109
598074,1,11,595.944616
598075,3,7,907.0996805
598076,5,11,639.7568173
598077,5,7,621.5192296
598078,3,7,782.1381743
729284,1,7,775.6187853
729286,2,6,545.1577494
729288,3,4,843.4952479
729290,5,11,625.5234506
729292,2,7,533.9268879
729294,1,6,671.0045422
729296,4,5,916.7983025
729298,3,6,744.8740815
729300,4,11,876.7189159
729302,3,5,696.9263094
729304,1,2,617.1687281
729306,6,11,740.4514878
729308,3,7,701.6332752
729310,2,5,458.5046226
729312,1,4,680.1324512
729314,6,7,475.463281
729316,3,11,510.2915645
729318,2,4,552.4784242
729320,1,5,764.3388111
